Year,MinJan,MaxJan,PrecipJan,MinFeb,MaxFeb,PrecipFeb,MinMar,MaxMar,PrecipMar,MinApr,MaxApr,PrecipApr,MinMay,MaxMay,PrecipMay,MinJun,MaxJun,PrecipJun,MinJul,MaxJul,PrecipJul,MinAug,MaxAug,PrecipAug,MinSep,MaxSep,PrecipSep,MinOct,MaxOct,PrecipOct,MinNov,MaxNov,PrecipNov,MinDec,MaxDec,PrecipDec,MaxSnowDepth_cm
1904,-30.8,22.2,1.524,-43.8,30.2,6.2992,-34.8,27.2,9.1948,-22.8,52.2,2.3876,-4.8,54.2,1.8542,0.2,63.2,1.2192,11.2,67.2,6.5024,6.2,68.2,3.9116,2.2,60.2,0.6604,-7.8,46.2,2.413,-6.8,34.2,0.1524,-35.8,22.2,4.064,198
1905,-38.8,22.2,1.6256,-50.8,30.2,1.27,-28.8,34.2,5.0546,-27.8,38.2,2.8956,-4.8,41.2,5.4864,8.2,52.2,8.4836,10.2,68.2,2.5654,11.2,71.2,5.0292,-1.8,63.2,1.7272,-22.8,54.2,0.254,-26.8,30.2,3.048,-35.8,14.2,3.2766,94
1906,-42.8,19.2,9.0932,-43.8,22.2,7.1882,-56.8,30.2,6.5786,-25.8,46.2,4.1656,0,0,0,3.2,57.2,3.937,11.2,61.2,0.6858,7.2,62.2,3.1242,2.2,66.2,0,-17.8,52.2,0,-24.8,33.2,5.0038,-24.8,25.2,0,15
1907,0,0,0,-27.8,26.2,3.8354,-27.8,23.2,18.9992,-23.8,42.2,7.8486,-7.8,42.2,4.2164,7.2,49.2,7.7724,0,0,0,0,0,0,4.2,54.2,3.81,2.2,44.2,2.159,-12.8,28.2,1.6764,-37.8,16.2,9.8298,61
1908,-39.8,17.2,3.8862,-64.8,23.2,9.2202,-33.8,24.2,7.5184,-21.8,45.2,3.683,-1.8,42.2,21.971,12.2,60.2,14.7066,10.2,60.2,3.6576,2.2,60.2,7.9756,2.2,60.2,4.2418,-7.8,52.2,16.5608,0,32.2,2.1336,0,17.2,4.4704,99
1909,-50.8,20.2,13.716,-40.8,19.2,0,-46.8,25.2,4.953,-40.8,29.2,4.7244,-17.8,40.2,3.9624,10.2,56.2,3.8862,8.2,71.2,6.6802,6.2,61.2,2.794,1.2,52.2,4.445,-12.8,44.2,3.1242,-21.8,33.2,8.3058,-44.8,15.2,3.81,145
1910,-53.8,20.2,7.874,-53.8,27.2,6.3754,-24.8,35.2,3.0226,-21.8,47.2,4.3434,-9.8,52.2,9.0932,4.2,62.2,1.0922,12.2,66.2,5.1816,-4.8,63.2,1.6764,1.2,54.2,2.6924,-13.8,50.2,4.1402,-30.8,29.2,4.2418,-31.8,25.2,2.7686,130
1911,-57.8,17.2,7.8232,-49.8,16.2,2.4384,-32.8,33.2,3.048,-36.8,34.2,4.572,-6.8,49.2,3.7084,7.2,55.2,7.239,9.2,57.2,2.3114,7.2,61.2,0.5334,2.2,55.2,3.6068,-14.8,43.2,2.667,-35.8,23.2,4.826,-37.8,17.2,2.159,168
1912,-44.8,19.2,2.6162,-46.8,23.2,3.175,-48.8,27.2,6.604,-23.8,38.2,5.334,-10.8,44.2,7.3406,6.2,58.2,5.588,8.2,61.2,1.2446,-3.8,58.2,3.2258,-3.8,56.2,0,-13.8,46.2,8.2296,-24.8,30.2,6.8072,-37.8,17.2,6.477,145
1913,-65.8,11.2,9.6012,-56.8,21.2,1.7526,-52.8,26.2,11.8872,-23.8,41.2,6.2992,-8.8,49.2,6.8072,11.2,52.2,2.7178,7.2,60.2,16.7132,14.2,62.2,2.2352,3.2,55.2,1.4732,-22.8,48.2,4.6482,-18.8,31.2,5.0292,-40.8,22.2,1.778,147
