MinJan,MeanJan,MaxJan,RainJan,SnowJan,MinFeb,MeanFeb,MaxFeb,RainFeb,SnowFeb,MinMar,MeanMar,MaxMar,RainMar,SnowMar,MinApr,MeanApr,MaxApr,RainApr,SnowApr,MinMay,MeanMay,MaxMay,RainMay,SnowMay,MinJun,MeanJun,MaxJun,RainJun,SnowJun,MinJul,MeanJul,MaxJul,RainJul,SnowJul,MinAug,MeanAug,MaxAug,RainAug,SnowAug,MinSep,MeanSep,MaxSep,RainSep,SnowSep,MinOct,MeanOct,MaxOct,RainOct,SnowOct,MinNov,MeanNov,MaxNov,RainNov,SnowNov,MinDec,MeanDec,MaxDec,RainDec,SnowDec,AnnualMin,AnnualMean,AnnualMax,AnnualRain,AnnualSnow
-45,-18.45483871,0,0,22.2,-25,-6.392592593,8.3,0.1,16.8,-33.3,-6.556666667,8.9,0.5,18.6,-18.9,1.713793103,16.7,8.8,7.6,-11.7,4.37037037,21.7,30.2,13.1,-2.8,8.823333333,23.9,45.7,1.5,-1.7,13.15806452,28.3,23.8,0,-1.1,12.58,24.4,96.7,0.1,-6.1,7.644827586,21.7,25.6,1.3,-15.6,2.426666667,12.8,31.2,15.4,-20.6,-3.818518519,10.6,6.3,17.4,-28.9,-11.86774194,2.2,0,8.1,-45,0.283522727,28.3,268.9,122.1
-26.1,-10.63333333,-3.9,0,2,-29.4,-9.595833333,2.2,0,11.3,-31.1,-7.577419355,7.8,2.6,25.2,-21.7,-1.49,11.1,10.2,11.3,-12.2,4.14,20.6,20.8,9.8,-1.7,10.88,25.6,39.4,0.7,-3.9,12.90967742,30,16.8,0,-5,11.74516129,27.2,28.6,0,0,#DIV/0!,0,0,0,-13.3,1.629032258,20,7.3,17,-25.6,-6.613333333,12.2,0,22.3,-28.9,-9.980645161,5,0.1,25.4,-31.1,0.714569536,30,125.8,125
-34.4,-14.6483871,0,0.1,33.4,-35,-10.8862069,7.2,0,17.1,-36.7,-9.270967742,5.6,1.2,36.7,-25.6,-2.206666667,10,1.1,16,-6.7,3.319354839,19.4,24.5,31.7,-4.4,8.376666667,27.8,59.3,9.2,-1.1,13.04516129,26.1,57.6,0,-5.6,11.70645161,26.1,18.1,1.4,-7.2,7.562068966,25,13.7,1,-15,-0.066666667,18.3,4,13.7,-24.4,-4.279310345,6.7,1.2,33.7,-36.7,-15.12258065,2.8,0,24,-36.7,-1.039944904,27.8,180.8,217.9
-27.2,-10.05862069,-2.2,0,44,-48.9,-15.82142857,-1.1,0,25.8,-30,-7.816129032,7.8,0.1,12.1,-24.4,-2.583333333,11.1,5.6,17.4,-12.2,1.53,18.9,9.3,19.7,-3.3,11.60333333,27.8,15,0,1.1,14.3,29.4,12.3,0,-6.1,11.36129032,28.3,53.9,0.4,-6.7,7.586666667,24.4,29.7,5,-9.4,4.5,20.6,0.2,0.3,-20.6,-2.676666667,8.3,0.3,9.4,-21.1,-4.229032258,6.7,2.2,39,-48.9,0.70878187,29.4,128.6,173.1
-25.6,-8.616666667,0.6,0.5,18.6,-24.4,-6.181481481,5.6,0.1,12.1,-21.1,-2.577419355,11.1,19.8,23.8,-21.7,3.035714286,22.8,13.4,7.7,-8.3,8.087096774,23.3,17.6,1.4,-3.9,8.531034483,22.8,100.2,7.3,-0.6,13.44193548,27.2,48.7,0,-6.1,12.48064516,27.2,37.8,0,-9.4,7.526666667,27.2,17,15.5,-7.2,5.564516129,19.4,9.7,2.9,-16.1,-1.662068966,13.9,2.7,20.4,-21.1,-8.225806452,1.7,0,37.8,-25.6,2.72005571,27.2,267.5,147.5
-35,-8.275,2.8,0.1,14.3,-35,-10.33928571,6.1,0.6,13.9,-27.2,-7.467741935,11.1,3.8,52.5,-24.4,-2.456666667,12.8,4.7,55.5,-14.4,3.04516129,21.1,17.2,11.4,-3.3,9.896666667,27.2,7,0.1,-5.6,13.49032258,29.4,9.3,0,-7.8,11.22580645,28.3,12.5,0,-7.2,9.163333333,22.8,14.5,0.1,-16.1,2.335483871,18.9,9.9,8,-22.8,-6.337931034,3.3,0,12.7,-25,-9.336666667,0,0,7.9,-35,0.695505618,29.4,79.6,176.4
-35.6,-12.61612903,-0.6,0.1,41.1,-40,-11.26551724,2.2,0.5,42.8,-32.8,-8.312903226,5.6,0,41.5,-28.9,-0.972413793,17.2,21.5,19.1,-6.1,4.533333333,19.4,16.5,6.9,-1.7,11.44333333,27.8,41.9,0.7,2.2,15.1862069,29.4,32.5,0,-3.9,12.96333333,25.6,42.1,0,-11.1,7.036666667,22.8,15.8,0.9,-12.2,2,19.4,12.6,3.1,-25.6,-6.484615385,8.9,0,11.1,-22.8,-7.852173913,3.3,0.1,12,-40,0.504559271,29.4,183.6,179.2
0,#DIV/0!,0,0,0,-41.7,-15.75714286,0,0,45.2,-28.3,-6.894117647,6.7,0.1,24.9,0,#DIV/0!,0,0,0,-12.2,4.838709677,20,15.1,1.3,-6.1,8.173333333,25.6,40.5,12,0,13.44666667,28.3,66.4,0,-3.9,13.18709677,27.8,8.2,0,-8.9,8.353333333,25,55.9,9.4,-9.4,3.809677419,17.2,15.6,9.6,-20,-3.024,9.4,2.3,35,0,#DIV/0!,0,0,0,-41.7,5.487068966,28.3,204.1,137.4
-31.7,-10.41304348,2.2,0.3,66.4,-29.4,-7.653571429,7.8,1.3,48,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,1.1,12.29032258,26.1,98.8,0,-2.8,11.98928571,26.7,19.7,0,-2.8,10.29666667,22.8,20.9,0,-14.4,3.690322581,17.8,50.1,29.7,-31.1,-8.395833333,2.2,0.2,12.4,0,#DIV/0!,0,0,0,-31.7,2.485641026,26.7,191.3,156.5
0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,-21.1,0.91,15.6,19.7,16.6,-6.1,5.45483871,21.7,21.4,3.6,-3.9,7.303333333,21.1,72.4,10.6,0,13.72903226,26.7,9.3,0,-4.4,12.35806452,26.1,17.8,0,-7.2,8.57,21.7,35.4,1.1,-7.8,3.22,15.6,23.6,4.5,-15,-2.41,10,0,0,-23.3,-4.674193548,8.9,0,9.8,-23.3,4.966058394,26.7,199.6,46.2
