Year,IceOnDate,IceOnJulian,IceOffDate,IceOffJulian
1922,,,29-May,149
1923,,,31-May,151
1924,,,23-May,143
1925,,,20-May,140
1926,,,16-May,136
1927,,,17-May,137
1928,,,23-May,143
1929,,,29-May,149
1930,20-Dec,354,17-May,137
1931,17-Dec,351,16-May,136
1932,11-Dec,345,31-May,151
1933,7-Jan,372,5-Jun,156
1934,14-Jan,379,28-Apr,118
1935,,,31-May,151
1936,,,20-May,140
1937,,,23-May,143
1938,,,27-May,147
1939,,,15-May,135
1940,,,22-May,142
1941,,,18-May,138
1942,,,13-May,133
1943,,,31-May,151
1944,,,21-May,141
1945,,,21-May,141
1946,,,10-May,130
1947,,,20-May,140
1948,,,27-May,147
1949,,,16-May,136
1950,,,1-Jun,152
1951,26-Dec,360,18-May,138
1952,25-Dec,359,16-May,136
1953,11-Jan,376,20-May,140
1954,21-Dec,355,18-May,138
1955,14-Dec,348,27-May,147
1956,23-Dec,357,25-May,145
1957,31-Dec,365,29-May,149
1958,2-Jan,367,21-May,141
1959,18-Dec,352,27-May,147
1960,11-Dec,345,22-May,122
1961,10-Dec,344,27-May,147
1962,12-Jan,377,21-May,121
1963,8-Jan,373,30-May,150
1964,18-Dec,352,29-May,149
1965,16-Jan,381,28-May,148
1966,22-Dec,356,21-May,141
1967,15-Dec,349,31-May,151
1968,21-Dec,355,2-Jun,153
1969,28-Dec,362,17-May,137
1970,14-Dec,348,4-Jun,155
1971,28-Dec,362,31-May,151
1972,10-Dec,344,2-Jun,153
1973,24-Dec,358,27-May,147
1974,1-Jan,366,27-May,147
1975,,,7-Jun,158
1976,,,21-May,141
1977,21-Dec,355,13-May,133
1978,28-Dec,362,17-May,137
1979,29-Dec,363,27-May,147
1980,12-Jan,377,10-May,130
1981,7-Jan,372,19-May,139
1982,15-Dec,349,26-May,146
1983,22-Dec,356,30-May,150
1984,6-Dec,340,31-May,151
1985,11-Dec,345,21-May,141
1986,16-Dec,350,4-Jun,155
1987,24-Dec,358,8-May,128
1988,18-Dec,352,19-May,139
1989,30-Dec,364,18-May,138
1990,21-Dec,355,20-May,140
1991,17-Dec,351,1-Jun,152
1992,4-Jan,369,8-May,128
1993,27-Dec,361,28-May,148
1994,25-Dec,359,16-May,136
1995,1-Dec,335,3-Jun,154
1996,19-Dec,353,3-Jun,154
1997,26-Dec,360,20-May,140
1998,26-Jan,391,15-May,135
1999,26-Dec,360,29-May,149
2000,27-Dec,361,6-May,126
2001,24-Dec,358,15-May,135
2002,24-Dec,358,21-May,141
2003,11-Jan,376,23-May,143
2004,11-Jan,376,5-May,125
2005,28-Dec,362,21-May,141
2006,17-Dec,351,18-May,138
2007,27-Dec,361,11-May,131
2008,3-Jan,368,2-Jun,153
2009,27-Dec,361,27-May,147
2010,4-Jan,369,4-Jun,155
2011,14-Dec,348,12-Jun,163
2012,30-Dec,364,17-May,137
2013,5-Jan,370,17-May,137
2014,31-Dec,365,31-May,151
2015,27-Dec,361,6-May,126
2016,31-Dec,351,9-May,129
2017,22-Dec,356,23-May,143
2018,1-Jan,366,20-May,140
2019,19-Dec,353,27-May,147
2020,19-Dec,353,25-May,145
2021,28-Dec,361,20-May,140
2022,1-Jan,366,,
