,Year,IceOnDate,IceOnJulian,IceOffDate,IceOffJulian,AnnualMax,AnnualMin,AnnualRain,AnnualSnow,SnowDepth,SpringMax,SpringMin,SpringRain,SpringSnow,SummerMax,SummerMin,SummerRain,SummerSnow,FallMax,FallMin,FallRain,FallSnow,WinterMax,WinterMin,WinterRain,WinterSnow
1,1927,,NA,17-May,137,28.33333333,-43.33333333,283.6843121,221.7756879,1651,18.33333333,-27.77777778,14.55066346,54.28333653,NA,NA,NA,NA,NA,NA,NA,NA,7.222222222,-43.33333333,1.428055411,95.85394457
2,1928,,NA,,NA,27.22222222,-36.11111111,222.4454887,171.0005115,1219.2,18.33333333,-36.11111111,18.30323279,74.40676721,28.33333333,-5.555555556,137.6500793,7.383920712,22.77777778,-17.22222222,130.0555139,64.25448608,7.222222222,-35,3.439740847,58.02825921
3,1929,,NA,,NA,28.88888889,-40,222.4921536,148.3478464,1016,17.22222222,-28.33333333,4.854698123,77.69530188,27.22222222,-3.888888889,184.6037051,6.912294956,25.55555556,-23.33333333,16.09880991,31.65319009,11.11111111,-40,23.21946574,33.42253428
4,1930,20-Dec,354,,NA,28.33333333,-45,269.1349772,122.0250228,1498.6,21.66666667,-33.33333333,39.58519588,39.15480413,28.88888889,-5,121.0995495,3.868450502,24.44444444,-31.66666667,73.31844024,33.36155976,8.333333333,-45,0.230781344,47.01321869
5,1931,17-Dec,351,,NA,30,-31.11111111,125.6766165,125.2753835,1524,20.55555556,-31.11111111,33.6841211,46.07187891,28.33333333,-2.777777778,166.2160412,1.677958705,21.66666667,-20.55555556,63.10295874,34.17904126,5,-29.44444444,0.182911842,38.93308818
6,1932,11-Dec,345,31-May,151,27.77777778,-36.66666667,180.1931981,218.3328018,1447.8,19.44444444,-36.66666667,26.67093665,84.58106339,30,-5,84.52074823,0.82325172,20,-25.55555556,7.288835347,39.44716469,7.222222222,-36.66666667,0.174122411,74.75587762
7,1933,7-Jan,372,5-Jun,156,29.44444444,-48.88888889,128.2421098,173.5098901,1676.4,18.88888889,-30,14.92152514,49.3404749,27.77777778,-5.555555556,134.6680712,10.61992879,25,-24.44444444,18.68006788,48.37593204,6.666666667,-48.88888889,2.21142583,109.0405741
8,1934,14-Jan,379,28-Apr,118,27.22222222,-25.55555556,267.7663006,147.0156994,1397,23.33333333,-21.66666667,50.95885031,32.86114968,29.44444444,-6.111111111,80.96115397,0.572845947,24.44444444,-20.55555556,30.1480049,14.55599509,5.555555556,-25.55555556,0.664574883,68.16942517
9,1935,,NA,31-May,151,29.44444444,-35,79.57793181,175.6920682,1219.2,21.11111111,-27.22222222,25.59812298,119.181877,27.22222222,-6.111111111,186.7029652,7.35303476,27.22222222,-16.11111111,29.43991017,38.63208983,6.111111111,-35,0.706062819,35.86993719
10,1936,,NA,20-May,140,29.44444444,-40,183.9456859,179.0203143,1498.6,19.44444444,-32.77777778,38.11332243,67.55067763,29.44444444,-7.777777778,28.87476314,0.081236888,22.77777778,-22.77777778,24.39898287,20.55901714,3.333333333,-40,0.806872944,95.45912706
11,1937,,NA,,NA,28.33333333,-41.66666667,204.3364744,137.2935257,1600.2,20,-28.33333333,15.15666718,25.99133282,29.44444444,-3.888888889,116.5720812,0.775918966,22.77777778,-25.55555556,28.45340934,15.23459066,0,-41.66666667,0.000144737,45.21185525
12,1938,,NA,27-May,147,26.66666667,-31.66666667,191.0983448,156.8816552,1422.4,NA,NA,0,0,28.33333333,-6.111111111,115.2879366,12.22006352,25,-20,73.89172588,53.87027412,7.777777778,-31.66666667,1.66069128,114.4173087
13,1939,,NA,,NA,26.66666667,-23.33333333,199.3326743,46.53932572,1524,21.66666667,-21.11111111,41.27701758,20.19098242,26.66666667,-2.777777778,118.5471554,0.07084456,22.77777778,-31.11111111,70.8904981,42.39350191,8.888888889,-23.33333333,0.018077641,9.887922358
14,1940,,NA,,NA,30,-40,102.0996279,65.54037211,914.4,20,-28.33333333,8.972413276,0.425586724,26.66666667,-4.444444444,99.35221923,10.88378078,21.66666667,-15,58.68535984,5.576640166,7.777777778,-40,0.128205985,15.11179402
15,1941,,NA,,NA,26.11111111,-28.88888889,295.5821344,197.6858656,1879.6,18.88888889,-28.33333333,88.17841606,28.40758394,30,-2.777777778,44.63608318,4.385916806,25,-28.88888889,48.36292545,45.61707456,5,-27.77777778,10.80784319,84.18815677
16,1942,,NA,,NA,27.77777778,-41.66666667,103.7579366,270.1300634,1701.8,17.22222222,-30,44.42846411,88.15953595,26.11111111,-2.777777778,162.6939862,0.882013864,17.77777778,-28.88888889,33.90188894,84.20811105,5,-41.66666667,0.290872403,77.94112759
17,1943,,NA,,NA,26.66666667,-46.11111111,179.2457918,157.5582081,1295.4,18.33333333,-41.66666667,48.34260983,118.5353902,27.77777778,-3.333333333,34.70014554,0.859854443,23.88888889,-21.11111111,24.33845456,103.1695454,NA,-46.11111111,0,0
18,1944,,NA,21-May,141,25.55555556,-28.33333333,215.1179457,76.22005437,1193.8,18.33333333,-6.111111111,25.80329775,14.32870225,26.66666667,-4.444444444,85.8884757,11.64752422,22.22222222,-8.888888889,45.01470624,27.37529376,3.333333333,-28.33333333,0.140906865,22.21109313
19,1945,,NA,21-May,141,26.11111111,-35,325.0511059,308.1708942,1549.4,17.22222222,-31.66666667,55.45266886,88.31133117,25.55555556,-2.777777778,166.5256442,5.940355855,16.11111111,-25,22.64809687,33.73990313,2.777777778,-35,2.45390597,113.1160941
20,1946,,NA,10-May,130,28.33333333,-31.66666667,202.850461,258.667539,1778,16.11111111,-23.33333333,36.91421593,69.00378407,26.11111111,-6.666666667,215.6779258,17.24007422,21.66666667,-22.22222222,51.46660527,89.50339469,5.555555556,-31.66666667,4.422544836,107.3374552
21,1947,,NA,,NA,26.66666667,-37.77777778,257.2599368,223.3080629,1244.6,20,-35.55555556,22.68762825,78.91237176,28.33333333,-3.888888889,86.9354227,0.694577244,21.66666667,-20,74.57827752,81.63172251,6.666666667,-37.77777778,1.432784426,52.16121555
22,1948,,NA,27-May,147,26.11111111,-42.77777778,174.9199096,326.7300905,990.6,17.77777778,-38.33333333,9.822972914,88.22102709,26.66666667,-3.888888889,143.1285007,5.71549911,24.44444444,-25.55555556,90.01102351,86.51897645,5.555555556,-42.77777778,3.212111127,164.935889
23,1949,,NA,16-May,136,28.33333333,-40.55555556,222.3803305,285.8736695,1168.4,18.88888889,-30,36.38829376,63.68770619,26.11111111,0,94.87643503,0.373564999,26.11111111,-28.33333333,67.00839052,73.19960938,3.333333333,-40.55555556,0.819419594,149.0405805
24,1950,,NA,,NA,28.33333333,-38.33333333,224.6094998,410.6445002,1244.6,15.55555556,-29.44444444,18.40774607,125.864254,28.33333333,-3.333333333,108.5573187,5.234681179,21.66666667,-17.22222222,76.61529842,67.91070159,8.333333333,-38.33333333,3.398507656,178.2114923
25,1951,26-Dec,360,18-May,138,26.66666667,-45,289.8547961,283.6772038,1473.2,18.33333333,-36.11111111,41.90349862,70.11050138,24.44444444,-6.111111111,124.4383221,15.26167789,28.33333333,-28.88888889,78.36492399,91.30707598,7.777777778,-45,0.822443307,149.0375567
26,1952,25-Dec,359,16-May,136,24.44444444,-36.11111111,227.7422048,214.7257951,1498.6,18.33333333,-34.44444444,49.45635259,57.47764737,26.66666667,-10,212.01443,10.23556994,20.55555556,-26.66666667,35.11442424,54.29357575,5,-36.11111111,0.604629523,149.2553704
27,1953,11-Jan,376,20-May,140,26.11111111,-36.11111111,127.995959,254.5280409,1066.8,17.22222222,-32.22222222,40.11691599,97.55108401,24.44444444,-5,168.8868436,1.547156436,22.22222222,-28.88888889,8.794379085,6.445620915,6.111111111,-36.11111111,4.009311292,129.5946887
28,1954,21-Dec,355,18-May,138,27.22222222,-34.44444444,208.6844664,270.6135335,1524,22.22222222,-34.44444444,44.23937385,83.77662612,26.11111111,-3.888888889,53.65830447,4.761695461,21.11111111,-18.88888889,30.21142725,22.62057275,5,-32.22222222,1.867965056,133.0060349
29,1955,14-Dec,348,27-May,147,31.66666667,-37.22222222,233.6462334,386.6217664,1422.4,19.44444444,-37.22222222,45.57612719,95.64787273,27.22222222,-7.222222222,139.8647425,24.98125742,23.33333333,-25,22.71238499,28.84961501,3.333333333,-37.22222222,18.52907974,182.3849203
30,1956,23-Dec,357,25-May,145,31.66666667,-43.33333333,132.4759641,299.5780357,1498.6,22.77777778,-38.88888889,33.96682245,95.57317751,31.66666667,-5.555555556,98.4323335,9.009666447,26.11111111,-34.44444444,71.10869299,99.57930699,3.333333333,-43.33333333,1.076116664,146.2438833
31,1957,31-Dec,365,29-May,149,26.66666667,-41.11111111,78.9888294,243.0831705,1143,20.55555556,-29.44444444,33.06933571,74.11866425,31.66666667,-5.555555556,70.34757935,0.518420556,28.33333333,-27.77777778,27.08544561,57.24255438,5.555555556,-41.11111111,4.154039073,130.7199609
32,1958,2-Jan,367,21-May,141,26.66666667,-33.33333333,193.3128758,246.6151241,1930.4,22.22222222,-28.33333333,35.96294516,87.48105489,26.66666667,-3.333333333,18.51932387,0.02267613,22.77777778,-26.66666667,23.24613075,38.2218693,9.444444444,-33.33333333,2.678455347,91.04754461
33,1959,18-Dec,352,27-May,147,27.22222222,-36.66666667,178.6654167,235.8625833,1549.4,17.77777778,-31.66666667,48.93600982,80.09599018,26.66666667,-2.777777778,137.341946,0.580053891,20,-25,17.32952928,67.50647072,6.111111111,-36.66666667,1.701725084,97.10427484
34,1960,11-Dec,345,22-May,122,29.44444444,-37.77777778,204.1487139,245.4312859,1727.2,19.44444444,-31.11111111,54.03347142,80.33252855,27.22222222,-2.777777778,85.3119396,1.048060413,23.33333333,-32.77777778,42.71574218,57.61425782,5.555555556,-37.77777778,0.375996416,97.16000355
35,1961,10-Dec,344,27-May,147,28.88888889,-38.33333333,284.2521783,291.5658216,1981.2,21.11111111,-25.55555556,54.41232852,60.39567143,29.44444444,-4.444444444,127.337488,2.456511861,23.88888889,-25,22.40175807,65.48224197,4.444444444,-38.33333333,3.197650961,128.628349
36,1962,12-Jan,377,21-May,121,25.55555556,-43.88888889,306.989038,277.718962,1879.6,17.22222222,-31.11111111,69.28590317,78.03409685,28.88888889,-2.222222222,146.4511872,0.106812776,20.55555556,-23.33333333,80.19101164,102.4349884,7.222222222,-43.88888889,18.48236775,142.0456322
37,1963,8-Jan,373,30-May,150,27.22222222,-45.55555556,301.0287227,207.9872774,1828.8,18.33333333,-31.11111111,69.23466656,75.54533345,25.55555556,-6.111111111,172.05358,12.85842004,22.22222222,-19.44444444,47.16718707,44.78081295,9.444444444,-45.55555556,5.711984151,90.30001587
38,1964,18-Dec,352,29-May,149,27.22222222,-38.88888889,204.5225634,322.7814365,1955.8,18.88888889,-32.22222222,37.9026569,84.52534303,27.22222222,-3.888888889,127.9837445,1.302255522,24.44444444,-17.77777778,98.09832747,40.83967253,5,-38.88888889,12.26589992,181.7901001
39,1965,16-Jan,381,28-May,148,25,-42.22222222,167.9376662,307.0423337,1498.6,15,-41.11111111,51.22532098,78.31467899,27.22222222,-4.444444444,128.8404495,14.41555045,20.55555556,-25,25.51355705,42.05044293,5.555555556,-42.22222222,1.054773122,165.0612269
40,1966,22-Dec,356,21-May,141,28.33333333,-36.11111111,218.6350248,235.7709752,1828.8,21.66666667,-36.11111111,37.93814667,74.58385334,25,-3.888888889,61.43664501,1.809354948,18.33333333,-19.44444444,54.2209271,61.85707287,2.222222222,-33.88888889,1.648025069,107.0639749
41,1967,15-Dec,349,31-May,151,26.11111111,-33.88888889,270.2584006,293.8755996,1981.2,19.44444444,-33.88888889,25.32799364,64.33400636,28.33333333,-5,74.9296302,3.302369831,26.11111111,-21.66666667,104.1192228,50.82077715,3.888888889,-33.33333333,2.20314023,170.0088598
