OriginalOrder,Date,Year,Month,Julian,max.F,min.F,precip.in,max.C,min.C,precip.mm,mean.C,rain.mm,snow.mm,SnowDepth.mm
1,1/19/1904,1904,Jan,19,28,4,0,-2.222222222,-15.55555556,0,-8.888888889,0,0,584.2
2,1/20/1904,1904,Jan,20,NA,2,0,NA,-16.66666667,0,NA,NA,NA,584.2
3,1/21/1904,1904,Jan,21,22,-9,0,-5.555555556,-22.77777778,0,-14.16666667,0,0,584.2
4,1/22/1904,1904,Jan,22,34,-6,NA,1.111111111,-21.11111111,NA,-10,NA,NA,609.6
5,1/23/1904,1904,Jan,23,20,-12,NA,-6.666666667,-24.44444444,NA,-15.55555556,NA,NA,660.4
6,1/24/1904,1904,Jan,24,18,11,0.05,-7.777777778,-11.66666667,1.27,-9.722222222,0.00013119,1.26986881,838.2
7,1/25/1904,1904,Jan,25,19,-13,0,-7.222222222,-25,0,-16.11111111,0,0,838.2
8,1/26/1904,1904,Jan,26,22,1,0.06,-5.555555556,-17.22222222,1.524,-11.38888889,4.15E-05,1.523958499,838.2
9,1/27/1904,1904,Jan,27,20,-6,0.04,-6.666666667,-21.11111111,1.016,-13.88888889,3.74E-06,1.015996256,838.2
10,1/28/1904,1904,Jan,28,24,-11,0,-4.444444444,-23.88888889,0,-14.16666667,0,0,787.4
11,1/29/1904,1904,Jan,29,25,3,0.22,-3.888888889,-16.11111111,5.588,-10,0.000462224,5.587537776,787.4
12,1/30/1904,1904,Jan,30,33,13,0.23,0.555555556,-10.55555556,5.842,-5,0.026267228,5.815732772,812.8
13,1/31/1904,1904,Jan,31,40,7,0,4.444444444,-13.88888889,0,-4.722222222,0,0,838.2
14,2/1/1904,1904,Feb,32,33,13,0,0.555555556,-10.55555556,0,-5,0,0,1168.4
15,2/2/1904,1904,Feb,33,32,-3,0,0,-19.44444444,0,-9.722222222,0,0,1168.4
16,2/3/1904,1904,Feb,34,28,6,0,-2.222222222,-14.44444444,0,-8.333333333,0,0,1168.4
17,2/4/1904,1904,Feb,35,48,24,0,8.888888889,-4.444444444,0,2.222222222,0,0,1371.6
18,2/5/1904,1904,Feb,36,36,18,0.06,2.222222222,-7.777777778,1.524,-2.777777778,0.039666187,1.484333813,1371.6
19,2/6/1904,1904,Feb,37,23,4,0,-5,-15.55555556,0,-10.27777778,0,0,1447.8
20,2/7/1904,1904,Feb,38,28,4,0.05,-2.222222222,-15.55555556,1.27,-8.888888889,0.000255498,1.269744502,1625.6
21,2/8/1904,1904,Feb,39,21,0,0,-6.111111111,-17.77777778,0,-11.94444444,0,0,1625.6
