water_year,IceOnDate_MD,IceOffDate_MD,CY_IceOn,CY_IceOff
1927,,5/17,,1927-05-17
1928,,,,
1929,,,,
1930,,,,
1931,12/20,,1930-12-20,
1932,12/17,5/31,1931-12-17,1932-05-31
1933,12/11,6/5,1932-12-11,1933-06-05
1934,1/7,4/28,1934-01-07,1934-04-28
1935,1/14,5/31,1935-01-14,1935-05-31
1936,,5/20,,1936-05-20
1937,,,,
1938,,5/27,,1938-05-27
1939,,,,
1940,,,,
1941,,,,
1942,,,,
1943,,,,
1944,,5/21,,1944-05-21
1945,,5/21,,1945-05-21
1946,,5/10,,1946-05-10
1947,,,,
1948,,5/27,,1948-05-27
1949,,5/16,,1949-05-16
1950,,,,
1951,,5/18,,1951-05-18
1952,12/26,5/16,1951-12-26,1952-05-16
1953,12/25,5/20,1952-12-25,1953-05-20
1954,1/11,5/18,1954-01-11,1954-05-18
1955,12/21,5/27,1954-12-21,1955-05-27
1956,12/14,5/25,1955-12-14,1956-05-25
1957,12/23,5/29,1956-12-23,1957-05-29
1958,12/31,5/21,1957-12-31,1958-05-21
1959,1/2,5/27,1959-01-02,1959-05-27
1960,12/18,5/22,1959-12-18,1960-05-22
1961,12/11,5/27,1960-12-11,1961-05-27
1962,12/10,5/21,1961-12-10,1962-05-21
1963,1/12,5/30,1963-01-12,1963-05-30
1964,1/8,5/29,1964-01-08,1964-05-29
1965,12/18,5/28,1964-12-18,1965-05-28
1966,1/16,5/21,1966-01-16,1966-05-21
1967,12/22,5/31,1966-12-22,1967-05-31
1968,12/15,6/2,1967-12-15,1968-06-02
1969,12/21,5/17,1968-12-21,1969-05-17
1970,12/28,6/4,1969-12-28,1970-06-04
1971,12/14,5/31,1970-12-14,1971-05-31
1972,12/28,6/2,1971-12-28,1972-06-02
1973,12/10,5/27,1972-12-10,1973-05-27
1974,12/24,5/27,1973-12-24,1974-05-27
1975,1/1,6/7,1975-01-01,1975-06-07
1976,,5/21,,1976-05-21
1977,,5/13,,1977-05-13
1978,12/21,5/17,1977-12-21,1978-05-17
1979,12/28,5/27,1978-12-28,1979-05-27
1980,12/29,5/10,1979-12-29,1980-05-10
1981,1/12,5/19,1981-01-12,1981-05-19
1982,1/7,5/26,1982-01-07,1982-05-26
1983,12/15,5/30,1982-12-15,1983-05-30
1984,12/22,5/31,1983-12-22,1984-05-31
1985,12/6,5/21,1984-12-06,1985-05-21
1986,12/11,6/4,1985-12-11,1986-06-04
1987,12/16,5/8,1986-12-16,1987-05-08
1988,12/24,5/19,1987-12-24,1988-05-19
1989,12/18,5/18,1988-12-18,1989-05-18
1990,12/30,5/20,1989-12-30,1990-05-20
1991,12/21,6/1,1990-12-21,1991-06-01
1992,12/17,5/8,1991-12-17,1992-05-08
1993,1/4,5/28,1993-01-04,1993-05-28
1994,12/27,5/16,1993-12-27,1994-05-16
1995,12/25,6/3,1994-12-25,1995-06-03
1996,12/1,6/3,1995-12-01,1996-06-03
1997,12/19,5/20,1996-12-19,1997-05-20
1998,12/26,5/15,1997-12-26,1998-05-15
1999,1/26,5/29,1999-01-26,1999-05-29
2000,12/26,5/6,1999-12-26,2000-05-06
2001,12/27,5/15,2000-12-27,2001-05-15
2002,12/24,5/21,2001-12-24,2002-05-21
2003,12/24,5/23,2002-12-24,2003-05-23
2004,1/11,5/5,2004-01-11,2004-05-05
2005,1/11,5/21,2005-01-11,2005-05-21
2006,12/28,5/18,2005-12-28,2006-05-18
2007,12/17,5/11,2006-12-17,2007-05-11
2008,12/27,6/2,2007-12-27,2008-06-02
2009,1/3,5/27,2009-01-03,2009-05-27
2010,12/27,6/4,2009-12-27,2010-06-04
2011,1/4,6/12,2011-01-04,2011-06-12
2012,12/14,5/17,2011-12-14,2012-05-17
2013,12/30,5/17,2012-12-30,2013-05-17
2014,1/5,5/31,2014-01-05,2014-05-31
2015,12/31,5/6,2014-12-31,2015-05-06
2016,12/27,5/9,2015-12-27,2016-05-09
2017,12/31,5/23,2016-12-31,2017-05-23
2018,12/22,5/20,2017-12-22,2018-05-20
2019,1/1,5/27,2019-01-01,2019-05-27
2020,12/19,5/25,2019-12-19,2020-05-25
2021,12/28,5/20,2020-12-28,2021-05-20
2022,1/4,6/5,2022-01-04,2022-06-05
