"","Year","IceOnDate","IceOnJulian","IceOffDate","IceOffJulian","AnnualMax","AnnualMin","AnnualRain","AnnualSnow","SnowDepth","SpringMax","SpringMin","SpringRain","SpringSnow","SummerMax","SummerMin","SummerRain","SummerSnow","FallMax","FallMin","FallRain","FallSnow","WinterMax","WinterMin","WinterRain","WinterSnow"
"1",1927,"",NA,"17-May",137,28.33333333,-43.33333333,283.68431208807,221.775687887,1651,18.33333333,-27.77777778,14.550663464,54.283336531,28.33333333,-5.555555556,137.650079291,7.383920712,22.77777778,-17.22222222,130.055513922,64.254486079,7.222222222,-43.33333333,1.4280554110699,95.853944565
"2",1928,"",NA,"",NA,27.22222222,-36.11111111,222.445488685,171.000511465,1219.2,18.33333333,-36.11111111,18.30323279,74.406767213,27.22222222,-3.888888889,184.603705139,6.912294956,25.55555556,-23.33333333,16.098809909,31.653190086,7.222222222,-35,3.439740847,58.02825921
"3",1929,"",NA,"",NA,28.88888889,-40,222.492153597,148.347846423,1016,17.22222222,-28.33333333,4.854698123,77.695301878,28.88888889,-5,121.099549489,3.868450502,24.44444444,-31.66666667,73.318440241,33.361559759,11.11111111,-40,23.219465744,33.422534284
"4",1930,"20-Dec",354,"",NA,28.33333333,-45,269.134977209,122.025022774,1498.6,21.66666667,-33.33333333,39.585195875,39.154804125,28.33333333,-2.777777778,166.216041246,1.677958705,21.66666667,-20.55555556,63.102958744,34.179041256,8.333333333,-45,0.230781344,47.013218688
"5",1931,"17-Dec",351,"",NA,30,-31.11111111,125.676616525,125.275383501,1524,20.55555556,-31.11111111,33.684121103,46.071878906,30,-5,84.520748233,0.82325172,20,-25.55555556,7.288835347,39.447164693,5,-29.44444444,0.182911842,38.933088182
"6",1932,"11-Dec",345,"31-May",151,27.77777778,-36.66666667,180.193198116,218.332801835,1447.8,19.44444444,-36.66666667,26.67093665,84.581063391,27.77777778,-5.555555556,134.668071172,10.619928786,25,-24.44444444,18.680067883,48.375932039,7.222222222,-36.66666667,0.174122411,74.755877619
"7",1933,"7-Jan",372,"5-Jun",156,29.44444444,-48.88888889,128.2421098417,173.50989006,1676.4,18.88888889,-30,14.921525143,49.340474895,29.44444444,-6.111111111,80.961153965,0.572845947,24.44444444,-20.55555556,30.148004904,14.55599509,6.666666667,-48.88888889,2.2114258297,109.040574128
"8",1934,"14-Jan",379,"28-Apr",118,27.22222222,-25.55555556,267.766300565,147.015699442,1397,23.33333333,-21.66666667,50.958850313,32.861149684,27.22222222,-6.111111111,186.702965199,7.35303476,27.22222222,-16.11111111,29.43991017,38.632089831,5.555555556,-25.55555556,0.664574883,68.169425167
"9",1935,"",NA,"31-May",151,29.44444444,-35,79.57793181,175.69206822,1219.2,21.11111111,-27.22222222,25.598122975,119.181877001,29.44444444,-7.777777778,28.874763142,0.081236888,22.77777778,-22.77777778,24.398982874,20.559017143,6.111111111,-35,0.706062819,35.869937188
"10",1936,"",NA,"20-May",140,29.44444444,-40,183.945685890875,179.020314317,1498.6,19.44444444,-32.77777778,38.113322433,67.550677629,29.44444444,-3.888888889,116.572081174,0.775918966,22.77777778,-25.55555556,28.45340934,15.23459066,3.333333333,-40,0.8068729438755,95.459127062
"11",1937,"",NA,"",NA,28.33333333,-41.66666667,204.336474397,137.293525705,1600.2,20,-28.33333333,15.156667183,25.99133282,28.33333333,-6.111111111,115.287936598,12.220063517,25,-20,73.891725879,53.870274121,0,-41.66666667,0.000144737,45.211855247
"12",1938,"",NA,"27-May",147,26.66666667,-31.66666667,191.098344807,156.881655175,1422.4,NA,NA,0,0,26.66666667,-2.777777778,118.54715543,0.07084456,22.77777778,-31.11111111,70.890498097,42.393501905,7.777777778,-31.66666667,1.66069128,114.41730871
